"Age","Gender","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
2,2,1,1,1,1,4,1,2,1,1,2,1,1,5,1,2,3,3,2,2,3,1
2,2,1,2,2,4,2,2,1,3,3,2,3,3,5,2,2,3,3,3,3,1,1
2,2,1,1,1,4,2,1,2,1,1,2,2,1,1,3,2,2,1,2,1,1,1
2,2,1,2,2,4,5,2,2,2,3,2,2,3,3,2,2,2,3,1,3,3,1
2,1,1,1,1,4,2,1,2,1,2,2,2,1,1,3,2,1,1,2,2,1,1
2,2,1,1,1,4,6,1,1,3,3,3,3,3,1,1,2,1,3,2,2,1,1
2,1,2,1,1,1,1,2,2,2,3,1,1,3,3,1,2,1,2,2,2,3,1
1,1,1,2,1,4,6,1,1,3,3,2,1,1,2,3,1,2,2,2,2,2,2
2,1,1,2,1,4,3,2,2,1,2,1,1,1,1,2,2,2,3,2,2,1,1
2,2,1,1,1,4,6,1,2,3,2,3,3,3,1,3,1,2,2,2,1,3,1
1,2,1,1,1,4,2,1,2,1,2,2,2,3,5,1,2,2,3,1,3,1,1
2,1,1,1,1,4,5,1,2,1,2,2,2,1,3,2,2,3,3,2,1,3,1
3,1,1,1,2,2,6,1,1,3,3,3,3,1,1,3,2,2,2,2,2,2,2
2,2,1,2,2,4,3,2,2,3,1,2,2,1,1,1,2,2,1,2,1,1,1
1,2,1,1,1,3,3,2,2,1,1,2,2,1,3,3,2,2,2,2,3,1,2
1,2,1,1,1,1,3,2,2,1,1,2,2,1,3,2,2,2,2,2,1,2,1
2,1,1,2,2,4,4,1,1,3,3,3,3,3,3,1,1,2,2,2,2,2,2
2,2,1,1,1,1,5,1,2,3,3,3,3,1,3,2,2,3,3,2,1,3,1
2,2,1,1,1,4,5,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1
2,2,1,2,1,4,3,2,2,1,1,2,2,1,3,1,2,2,2,2,1,2,1
2,2,1,2,2,4,5,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1
1,1,1,1,1,1,6,1,2,3,3,3,3,1,1,1,2,2,3,1,2,3,1
1,2,1,1,1,4,1,1,2,1,2,2,2,1,1,2,2,2,3,1,1,1,1
2,1,1,2,1,1,2,2,2,3,3,3,2,1,1,3,3,1,1,2,2,1,1
2,2,1,1,1,4,6,1,1,3,2,3,1,1,1,1,1,2,3,2,2,1,1
2,2,1,2,1,4,5,1,2,1,2,2,2,1,1,2,2,2,3,2,2,3,1
2,2,1,2,2,3,5,1,2,1,2,1,1,3,1,2,2,3,3,1,1,3,1
2,2,1,2,1,4,6,2,1,3,2,3,1,1,1,3,1,2,2,2,1,2,1
2,1,1,2,2,2,3,1,2,2,1,2,2,2,4,3,2,1,1,2,3,2,2
2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,2
2,2,1,2,1,4,5,2,2,2,3,2,2,1,1,1,2,1,2,2,2,1,1
2,2,1,2,2,4,3,2,2,2,1,2,2,3,1,2,2,3,3,2,1,3,1
2,2,1,1,1,4,6,2,1,1,1,1,1,3,1,3,2,2,1,2,2,2,1
2,1,1,1,1,4,1,1,2,2,2,2,2,1,5,2,2,2,3,2,1,3,1
2,2,1,1,1,4,5,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1
2,1,1,2,2,4,3,2,2,1,1,2,2,1,3,3,2,2,2,2,1,2,1
2,2,1,1,1,4,5,2,2,3,1,1,3,3,1,2,2,2,3,2,2,3,1
2,2,1,2,2,4,6,2,2,3,3,2,3,1,1,3,2,1,1,2,1,1,1
2,2,1,1,2,4,5,1,2,3,3,2,2,3,1,1,2,2,1,2,1,1,1
2,1,1,1,2,2,6,1,1,3,3,2,2,1,1,1,2,2,1,2,3,2,2
2,1,1,2,2,4,2,1,2,3,2,2,2,3,1,1,2,2,1,2,1,1,1
2,2,1,2,2,4,5,1,2,2,2,2,2,1,3,2,2,2,3,2,2,1,1
2,2,1,2,1,4,2,1,2,2,1,2,2,1,3,2,2,2,2,2,2,1,2
2,2,2,1,2,2,1,2,1,2,3,3,3,3,4,2,2,2,2,2,2,3,2
2,2,2,2,2,4,1,2,2,2,3,3,3,3,2,2,2,3,3,2,1,3,2
2,1,1,2,2,4,6,1,2,3,3,2,2,1,1,2,2,2,3,2,1,2,2
1,1,1,2,1,4,3,1,1,2,1,2,2,1,2,3,2,1,2,2,1,2,1
2,2,1,2,2,2,6,1,2,1,2,2,2,3,5,2,2,2,2,2,1,2,1
2,2,1,1,1,1,1,2,2,1,2,1,1,1,5,2,2,2,2,2,2,1,1
2,2,1,1,1,3,6,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1
2,2,1,2,2,4,4,1,2,3,3,2,1,3,5,2,2,2,3,2,2,3,1
2,2,1,1,1,1,5,1,2,1,1,2,1,1,1,1,2,2,3,1,1,1,1
2,2,2,1,1,1,5,2,2,1,1,2,2,2,5,1,2,2,3,2,1,3,1
2,2,1,2,2,2,6,1,2,3,2,1,1,1,1,1,2,2,1,2,1,1,1
2,1,1,1,2,3,5,1,2,3,3,1,3,3,5,2,2,2,2,2,3,1,1
2,1,1,1,2,2,6,2,1,3,1,2,2,1,3,2,2,2,3,1,1,1,1
2,2,1,1,2,4,2,1,2,1,2,2,2,3,4,1,2,2,1,2,1,2,1
2,2,2,1,1,1,1,2,2,1,1,2,2,3,2,2,2,1,1,2,2,1,1
1,2,1,1,2,2,5,2,2,1,1,2,2,1,3,1,2,2,1,2,1,1,1
1,2,1,2,2,4,5,1,2,2,1,2,2,1,3,1,2,3,3,2,2,1,1
1,2,1,2,2,2,5,1,1,1,1,2,2,3,1,2,2,2,3,2,1,2,2
2,2,1,1,1,1,5,2,2,3,2,1,1,1,3,1,1,1,2,2,1,1,1
2,2,1,1,1,1,6,1,1,3,3,2,1,1,2,1,2,1,3,2,2,1,1
3,2,1,1,1,1,3,1,1,3,3,3,3,3,1,1,2,2,3,2,1,1,1
2,2,1,1,1,4,3,2,2,2,1,2,2,1,4,3,1,2,1,2,1,2,1
2,1,1,1,2,4,5,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1
2,2,1,1,1,4,6,2,2,3,2,2,3,1,1,1,2,1,1,2,2,1,1
2,2,1,1,1,3,6,1,2,3,3,3,3,1,1,1,1,2,1,2,2,3,2
1,2,1,1,1,1,6,1,1,1,1,2,2,1,1,2,2,2,3,2,2,1,1
2,2,1,1,2,4,2,1,2,3,3,2,2,1,3,1,2,2,1,2,1,2,1
2,2,1,2,2,4,6,1,2,3,3,3,3,3,1,3,3,1,1,2,1,2,2
2,2,2,2,2,4,1,2,2,3,2,2,1,1,1,1,1,2,2,2,1,1,1
2,1,1,2,2,2,6,1,2,3,3,3,3,3,4,1,2,3,2,2,1,2,2
2,1,1,2,2,4,3,2,2,3,3,2,1,1,1,3,1,1,1,2,1,1,1
2,2,2,1,2,4,1,1,2,2,1,2,2,3,4,1,2,2,3,2,1,2,1
1,2,1,2,2,2,1,1,2,2,3,2,2,3,5,1,2,3,3,2,1,2,1
2,2,1,2,2,2,1,1,2,1,2,1,3,1,4,2,1,3,3,1,2,3,1
2,1,1,2,2,2,6,1,1,3,1,2,2,1,2,3,2,1,1,2,1,2,1
2,1,1,2,2,2,3,1,1,1,1,3,1,1,3,2,2,2,2,2,2,3,1
2,2,1,2,2,4,1,1,1,3,3,3,3,3,3,1,1,2,2,2,1,2,1
2,2,1,1,1,4,5,1,2,1,1,2,2,3,5,2,2,3,3,1,1,3,1
2,2,1,1,2,4,6,1,2,1,1,2,2,1,2,2,2,3,3,2,2,3,1
2,2,1,2,1,1,6,1,1,3,2,3,3,1,1,3,1,2,1,2,2,2,1
2,2,1,1,2,4,3,1,2,3,3,3,1,3,1,2,2,2,3,2,1,1,1
2,1,1,2,2,4,2,1,2,3,3,1,1,1,1,1,2,2,2,2,2,3,1
2,2,2,1,1,1,1,2,2,2,3,2,2,3,5,2,2,2,2,2,1,3,1
2,2,1,2,1,1,2,1,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1
2,2,1,2,2,2,2,1,2,2,3,2,2,1,4,3,2,3,3,2,3,2,1
1,2,1,1,2,4,6,1,2,3,3,3,1,3,1,3,2,1,1,2,2,3,1
2,2,1,1,2,4,2,1,2,3,1,2,3,3,5,2,2,1,3,2,2,3,1
2,2,2,1,2,4,1,1,1,2,3,2,2,2,4,2,2,1,1,2,2,2,2
1,2,1,2,2,3,5,2,2,1,1,2,2,1,5,2,2,3,3,1,3,3,1
2,2,1,2,2,4,6,1,2,3,2,3,1,1,2,1,2,2,2,2,1,1,2
2,2,1,1,1,4,6,1,1,1,2,3,1,3,3,2,2,2,3,2,1,3,1
2,2,1,1,1,1,4,1,2,1,1,2,1,1,1,2,2,3,2,2,2,3,1
2,2,1,1,1,4,5,2,2,3,2,2,3,1,1,1,2,2,3,1,3,1,1
2,2,1,2,1,4,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,1
2,1,2,2,2,2,1,2,2,2,3,2,2,2,4,3,3,1,1,2,1,2,2
2,1,1,2,1,4,5,2,2,1,1,2,2,1,3,2,2,3,2,2,2,3,1
2,2,1,1,1,1,5,2,2,3,1,2,2,1,1,3,1,2,1,2,1,1,1
1,2,1,1,2,3,5,2,2,2,3,2,1,1,3,1,2,1,2,2,1,1,1
3,2,2,1,2,4,3,2,2,2,1,2,2,1,1,1,1,2,3,2,2,1,1
2,2,1,2,2,3,3,1,2,2,1,1,1,1,5,2,2,3,3,1,3,3,1
2,1,1,1,2,2,6,1,2,3,3,1,1,1,1,3,2,1,1,2,1,1,1
2,2,1,1,1,2,5,1,2,2,1,2,2,2,5,1,1,2,2,1,1,1,1
2,2,1,2,2,4,5,2,2,3,3,2,1,3,5,2,2,2,3,1,1,3,1
2,2,1,1,2,2,5,1,2,3,1,2,2,3,3,1,1,3,2,2,3,2,1
2,2,1,1,1,4,5,2,2,2,2,2,2,1,1,1,2,2,1,1,3,1,1
1,2,1,2,2,4,1,2,2,1,1,1,1,1,5,2,2,3,3,1,3,1,1
2,2,1,1,1,4,6,1,1,3,2,1,1,1,3,1,2,2,2,2,1,1,1
1,2,1,1,1,4,3,1,2,3,3,2,2,3,1,1,2,1,1,2,1,1,2
2,2,1,1,2,1,2,1,2,1,2,2,1,1,5,1,2,3,2,2,1,1,1
3,2,1,2,2,4,5,1,2,1,3,2,1,1,1,3,1,1,2,2,1,1,1
2,2,1,2,2,3,6,1,1,3,3,3,3,3,3,3,2,1,3,2,3,1,1
2,2,1,1,1,1,1,2,2,2,3,2,2,1,1,3,3,1,1,2,2,1,1
2,2,2,1,2,3,1,1,2,2,3,3,3,3,5,2,2,2,3,2,3,2,2
2,2,1,1,2,4,6,1,1,2,1,2,3,1,1,1,2,2,2,2,2,2,1
2,1,1,1,2,1,2,1,2,1,2,2,1,1,5,1,2,2,2,2,1,2,1
2,1,1,1,2,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1
2,2,1,1,1,4,5,1,2,1,2,1,1,3,1,2,2,1,1,2,2,3,1
2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,2,3,3,1,3,2,2
1,1,1,1,2,4,3,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1
2,3,2,2,2,2,1,2,2,3,3,3,3,3,5,3,3,3,3,3,3,3,2
2,2,1,2,1,4,5,1,2,2,1,2,2,3,3,1,2,2,3,2,1,3,1
2,2,1,1,1,4,6,1,1,3,1,2,2,3,3,1,2,1,1,2,3,2,1
2,1,1,2,2,4,3,1,1,3,3,2,2,1,1,3,2,2,2,2,3,2,1
2,2,1,1,1,4,3,1,2,2,1,2,2,1,1,1,2,1,1,2,2,1,2
2,1,1,2,2,3,6,2,2,3,3,2,2,3,3,1,1,2,1,2,2,1,1
2,2,1,1,1,3,3,1,2,2,3,2,3,2,2,3,2,1,1,2,1,2,2
2,2,1,1,1,3,3,1,2,2,3,2,3,2,2,3,2,1,1,2,1,2,2
2,2,1,1,2,4,6,1,1,2,1,2,2,3,3,1,2,3,3,1,1,2,1
1,2,1,2,2,4,3,2,2,2,1,2,2,3,5,2,2,2,3,2,1,3,1
2,2,1,2,1,4,5,1,2,2,1,2,2,1,2,1,1,2,2,1,1,1,1
1,2,1,2,2,4,5,1,2,1,2,2,2,1,3,1,2,1,1,2,2,1,1
1,2,1,1,2,4,6,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1
2,2,1,1,2,2,3,1,2,2,3,2,2,3,4,2,2,3,3,3,3,1,1
2,2,1,1,1,3,6,1,2,1,2,1,1,1,1,1,1,1,1,2,3,1,2
2,2,1,1,1,4,6,1,1,2,1,2,2,1,3,3,1,1,1,2,2,1,2
2,1,1,2,1,4,6,1,1,2,3,2,2,3,1,1,2,1,1,2,3,3,1
1,2,1,1,1,1,6,1,1,2,3,3,3,3,2,2,2,3,3,2,3,3,1
2,1,1,2,1,4,3,2,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1
2,2,1,2,2,4,1,1,2,2,2,1,1,1,5,2,2,2,3,1,3,1,1
2,2,1,2,2,4,6,1,1,2,1,2,2,3,5,1,1,2,3,1,1,3,1
2,2,1,2,2,2,6,1,1,3,3,2,3,1,3,3,2,1,2,2,3,1,1
2,2,1,1,1,3,5,1,2,3,2,2,1,1,1,1,2,1,2,2,1,1,1
2,2,1,1,2,4,6,1,2,3,3,3,3,3,2,1,1,2,2,2,2,1,2
2,2,1,1,1,1,5,1,2,2,1,2,2,1,1,3,1,2,1,2,1,1,1
2,2,1,2,2,3,2,1,2,1,2,2,1,1,1,2,2,3,3,2,1,2,1
2,1,1,2,1,3,3,1,1,3,3,3,3,3,5,2,2,2,3,1,1,3,1
2,2,1,2,2,2,3,1,1,1,2,2,2,1,3,3,2,2,2,2,1,1,1
2,2,2,1,1,1,5,2,2,1,2,2,2,1,5,2,2,3,3,1,1,3,1
2,2,2,1,1,1,1,2,2,1,2,1,1,1,5,3,3,2,2,2,2,1,1
2,2,1,2,2,1,5,1,2,1,2,2,1,1,3,2,2,2,2,2,2,1,1
2,2,1,2,2,3,5,1,2,2,3,2,2,1,1,2,2,1,1,2,2,1,1
3,2,1,1,1,1,6,2,2,1,1,2,1,1,1,3,2,1,1,2,2,2,1
2,2,1,1,2,4,3,1,2,3,3,2,2,1,1,3,2,2,2,2,1,1,1
2,2,1,1,1,1,2,1,2,3,1,2,3,1,1,1,3,2,1,2,2,3,1
2,2,1,1,1,4,3,1,2,1,2,2,2,1,1,3,3,1,1,2,2,1,1
2,2,1,2,2,4,5,2,2,1,1,2,1,1,3,1,2,2,2,1,1,1,1
3,1,1,1,2,2,2,2,1,3,3,2,2,3,1,1,2,2,2,2,1,2,1
2,2,1,2,1,4,6,1,2,3,1,3,1,1,1,1,2,3,3,2,2,1,1
2,2,1,2,2,4,3,1,1,3,3,3,3,1,1,1,2,2,1,2,1,1,1
2,2,1,1,1,1,6,2,2,1,2,2,2,1,1,1,2,2,2,2,3,1,1
2,2,1,1,1,2,5,1,2,2,1,2,2,2,4,3,2,1,1,2,1,3,1
2,1,1,1,2,4,6,1,2,3,3,2,1,1,1,1,2,2,1,2,2,2,1
2,2,1,1,1,4,6,1,2,1,2,2,2,1,1,1,2,2,3,1,3,2,1
2,2,1,1,1,4,6,1,1,3,1,3,3,1,1,3,1,1,1,2,2,1,1
2,1,1,2,2,4,3,1,2,3,3,2,3,3,3,2,2,3,3,2,1,3,2
1,2,1,1,2,4,1,1,2,2,1,2,2,1,4,1,2,3,3,3,3,2,2
1,2,1,1,1,3,3,1,1,2,1,2,2,1,4,3,3,2,1,2,1,2,1
2,2,1,2,1,4,5,1,2,1,1,2,2,1,2,2,2,2,3,2,2,1,2
2,1,1,2,2,3,2,1,2,3,1,2,2,1,1,1,1,1,1,2,1,2,1
2,2,1,1,1,1,3,1,2,2,1,2,1,1,1,2,2,2,3,2,3,2,2
2,2,2,1,1,4,1,2,2,2,3,2,2,1,3,2,2,2,2,1,1,1,1
1,1,1,1,2,4,3,2,2,2,1,2,2,1,1,1,1,3,2,1,2,2,1
2,1,1,1,2,4,3,1,2,3,3,2,2,3,1,1,1,2,1,2,2,2,1
2,2,1,2,2,4,6,1,1,3,3,3,3,3,1,1,2,2,1,2,1,2,2
3,1,1,2,2,1,4,2,1,3,2,1,3,1,3,1,1,2,3,2,2,1,2
2,1,1,2,2,4,1,2,2,2,1,2,2,3,1,1,1,2,2,2,2,3,1
2,1,1,1,2,2,5,1,2,2,3,2,2,1,4,3,1,2,2,2,2,1,1
2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,3,2,2,3,1
3,1,2,1,1,3,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1
2,2,1,2,2,4,3,2,2,3,1,2,2,1,1,1,2,2,2,2,2,1,1
2,1,1,1,1,4,3,1,2,1,2,2,2,3,5,1,2,2,2,2,2,1,1
2,2,1,2,2,4,5,1,2,3,3,2,2,3,1,1,2,2,1,2,2,3,1
2,2,1,2,2,4,2,1,2,3,3,2,3,3,1,1,2,2,2,2,2,1,1
2,2,1,2,1,4,6,1,2,3,2,3,3,3,1,1,2,1,1,2,1,1,1
2,2,1,1,1,1,3,2,2,1,1,2,2,1,3,2,2,2,3,2,3,1,1
2,2,1,1,1,1,3,1,2,1,2,1,1,3,1,2,2,2,3,3,1,2,1
2,2,1,1,1,4,3,1,2,1,2,2,2,1,1,2,2,2,3,3,3,1,1
2,1,1,1,2,4,4,1,1,3,3,3,2,3,1,3,3,2,2,2,2,3,1
2,1,1,1,1,3,1,1,2,1,1,2,2,2,1,1,2,2,1,2,1,2,1
2,2,1,1,2,2,5,1,2,2,1,2,2,1,2,3,1,2,3,2,1,2,1
2,2,1,1,2,2,3,2,2,3,2,2,1,1,4,3,1,2,1,2,2,1,1
1,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,2,2,3,2,2,1,1
2,2,1,1,2,2,2,2,2,2,3,2,2,1,1,3,2,1,1,2,1,2,1
2,1,1,1,2,3,5,1,2,3,1,2,2,1,3,3,3,2,1,2,2,2,2
2,2,2,1,2,4,1,1,2,2,3,2,2,2,1,2,2,3,3,2,1,1,1
1,2,1,1,1,4,2,1,2,1,2,2,2,1,3,1,1,2,3,2,1,1,1
2,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,2,3,2,2,1,1
2,2,1,1,2,4,5,1,2,2,1,2,2,1,3,2,2,2,3,2,1,1,1
2,2,1,2,1,2,3,2,1,1,2,2,2,1,3,1,2,2,3,1,3,3,1
1,2,1,1,2,4,1,1,2,2,3,2,2,2,5,1,1,2,3,2,2,2,1
2,2,1,2,1,2,2,1,2,2,3,2,2,1,3,2,2,2,3,1,1,1,2
2,2,1,2,2,4,3,1,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1
1,2,1,2,1,4,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1
2,2,1,1,1,1,6,2,2,1,2,2,2,1,1,3,2,3,2,2,2,2,2
2,1,1,1,2,4,6,1,1,2,3,2,3,3,2,1,1,2,3,2,1,2,2
2,2,1,1,1,4,6,1,2,1,1,2,2,1,4,3,3,2,1,2,1,2,2
2,2,1,1,2,2,3,2,2,3,3,2,2,3,1,1,2,2,1,2,1,1,1
2,2,1,1,1,4,5,1,2,2,2,2,2,1,3,1,1,2,2,2,2,1,1
2,2,1,1,1,3,6,2,1,1,2,2,3,1,1,2,2,2,3,2,2,1,1
2,2,1,1,1,1,3,1,2,2,3,2,2,2,2,3,3,2,2,2,2,2,1
2,2,1,1,1,4,5,1,2,2,2,2,2,1,3,1,1,2,2,2,2,1,1
2,2,1,1,2,4,6,2,2,3,1,3,3,3,5,2,2,3,3,2,2,1,1
3,2,1,2,2,2,3,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1
3,2,1,2,2,4,2,2,2,1,2,1,1,1,1,2,2,2,3,3,3,1,1
2,1,2,1,2,3,1,2,2,1,3,1,3,2,3,2,2,3,3,3,3,3,1
1,2,1,1,1,1,3,1,2,1,1,2,2,1,3,1,2,2,2,2,1,3,2
1,2,1,2,2,4,6,1,2,3,3,2,3,1,3,1,2,2,1,2,1,3,2
1,1,1,1,2,3,3,1,2,2,3,3,2,1,1,2,2,3,2,2,1,1,1
2,2,1,1,1,4,6,1,1,3,2,3,1,1,3,1,1,1,2,2,2,3,1
2,1,1,2,1,1,6,1,2,3,3,1,3,3,1,1,2,2,2,2,2,1,1
1,2,1,2,2,4,3,1,2,1,3,2,2,1,3,3,2,2,2,2,1,1,1
2,2,1,1,1,4,5,2,2,2,1,2,2,3,1,3,2,1,1,2,2,1,1
1,1,1,2,2,4,5,1,2,2,3,2,3,3,5,2,2,3,3,1,1,3,1
1,2,2,1,2,4,5,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2
1,2,1,2,2,4,6,1,1,3,3,3,3,3,5,2,2,3,3,3,3,3,1
1,2,1,1,2,3,5,1,2,2,3,2,2,1,1,2,2,3,3,2,1,1,1
1,3,1,1,2,4,5,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1
1,2,1,1,2,2,3,1,2,3,3,3,1,1,1,1,2,3,2,2,2,1,1
3,2,1,1,2,2,6,2,2,1,1,3,1,1,3,1,1,2,1,2,1,1,1
2,2,1,1,1,4,3,1,2,2,3,2,2,3,1,3,1,1,1,2,2,2,2
2,2,1,2,2,2,6,1,1,3,3,3,3,3,3,3,1,2,3,2,2,2,2
2,2,1,1,1,4,4,1,2,1,1,2,2,1,1,1,2,3,3,1,3,1,1
2,2,1,2,2,4,2,1,2,1,1,2,2,3,3,2,2,2,1,2,2,1,1
2,2,2,1,2,2,5,2,2,2,1,2,2,1,3,1,2,2,1,2,2,1,1
2,2,1,1,2,3,3,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1
2,1,1,2,2,3,6,2,2,3,3,2,3,1,1,2,2,2,3,2,2,1,1
2,1,1,1,1,4,6,1,1,2,1,2,1,1,1,1,2,2,3,2,3,2,1
1,2,1,2,2,2,2,1,1,3,3,3,3,3,1,1,1,1,3,2,1,1,2
2,2,1,1,1,1,2,1,2,3,2,1,3,1,3,2,2,1,2,1,3,1,1
2,2,1,1,2,2,5,1,2,2,1,2,2,2,4,3,2,2,1,2,1,1,2
2,1,1,2,2,4,3,1,2,3,1,2,1,1,1,3,1,1,1,2,2,1,1
2,2,1,2,2,4,3,1,2,3,3,1,2,3,5,2,2,3,3,1,1,3,1
2,2,2,2,2,2,3,1,2,3,2,3,3,1,1,2,2,2,3,1,1,3,1
2,2,1,2,2,2,2,1,1,2,3,2,2,1,3,2,2,2,3,2,3,3,1
2,2,1,2,2,4,2,2,2,3,3,3,2,3,1,3,2,2,1,2,1,2,1
2,2,1,2,1,3,6,1,1,1,1,3,3,1,3,1,1,2,2,2,2,1,1
2,2,1,1,2,4,3,1,2,2,1,2,2,1,3,2,2,2,2,2,2,1,1
2,2,1,2,2,2,3,2,2,3,3,2,2,3,2,2,2,2,3,2,2,3,1
2,2,1,2,2,4,6,1,2,3,3,2,2,1,2,3,3,1,1,2,2,2,1
3,1,1,1,1,4,2,2,2,2,3,2,2,1,1,3,2,1,1,2,2,2,1
1,2,1,2,2,4,3,1,1,3,3,2,2,3,1,1,2,2,1,2,2,1,1
